2018020729,14,home,False,REG,Jon Cooper,2,38,30,4,4.0,1.0,55.7,4,7,8
2018020729,10,away,True,REG,Mike Babcock,4,31,17,8,2.0,0.0,44.3,8,8,21
2018020733,13,home,True,REG,Bob Boughner,3,29,26,2,3.0,0.0,45.3,20,11,11
2018020733,10,away,False,REG,Mike Babcock,1,21,21,6,1.0,0.0,54.7,11,13,8
2018020754,10,home,False,REG,Mike Babcock,2,26,19,8,1.0,0.0,62.0,14,10,11
2018020754,53,away,True,REG,Rick Tocchet,4,31,24,2,4.0,0.0,38.0,9,3,30
2018020765,10,home,True,REG,Mike Babcock,6,37,15,2,1.0,1.0,64.4,20,7,9
2018020765,15,away,False,REG,Todd Reirden,3,44,32,2,1.0,1.0,35.6,17,6,22
2018020786,17,home,True,OT,Jeff Blashill,3,33,16,10,4.0,1.0,52.8,14,3,13
2018020786,10,away,False,OT,Mike Babcock,2,21,13,8,5.0,0.0,47.2,13,2,8
2018020791,10,home,True,REG,Mike Babcock,3,33,22,2,2.0,0.0,58.3,10,9,19
2018020791,5,away,False,REG,Mike Sullivan,2,30,29,4,1.0,1.0,41.7,6,4,22
2018020805,10,home,True,REG,Mike Babcock,6,44,11,2,3.0,1.0,58.8,13,9,11
2018020805,24,away,False,REG,Randy Carlyle,1,25,36,6,1.0,0.0,41.2,9,10,20
2018020821,10,home,True,REG,Mike Babcock,5,30,13,4,1.0,0.0,40.7,13,8,13
2018020821,9,away,False,REG,Guy Boucher,4,44,27,2,2.0,0.0,59.3,12,10,21
2018020846,8,home,False,OT,Claude Julien,3,38,49,6,5.0,1.0,43.9,20,9,14
2018020846,10,away,True,OT,Mike Babcock,4,32,16,10,3.0,0.0,56.1,18,6,27
2018020859,3,home,True,REG,David Quinn,4,30,29,13,1.0,0.0,38.9,13,4,18
2018020859,10,away,False,REG,Mike Babcock,1,56,14,7,4.0,0.0,61.1,15,4,8
2018020873,21,home,False,REG,Jared Bednar,2,36,19,12,3.0,0.0,53.6,7,14,11
2018020873,10,away,True,REG,Mike Babcock,5,28,20,6,6.0,3.0,46.4,3,10,20
2018020885,54,home,False,REG,Gerard Gallant,3,33,38,12,3.0,0.0,52.9,7,8,15
2018020885,10,away,True,REG,Mike Babcock,6,43,18,6,6.0,2.0,47.1,4,7,16
2018020898,53,home,True,REG,Rick Tocchet,2,29,25,8,1.0,0.0,53.8,18,8,27
2018020898,10,away,False,REG,Mike Babcock,0,22,24,2,4.0,0.0,46.2,8,6,17
2018020921,19,home,True,OT,Craig Berube,3,41,10,0,3.0,1.0,47.9,10,9,17
2018020921,10,away,False,OT,Mike Babcock,2,33,13,6,0.0,0.0,52.1,11,12,10
2018020929,10,home,False,REG,Mike Babcock,2,42,17,8,2.0,0.0,67.9,18,10,12
2018020929,15,away,True,REG,Todd Reirden,3,28,35,6,3.0,1.0,32.1,15,6,21
2018020952,10,home,True,REG,Mike Babcock,6,36,15,8,2.0,2.0,44.9,11,14,20
2018020952,8,away,False,REG,Claude Julien,3,35,27,4,4.0,1.0,55.1,20,8,19
2018020962,10,home,True,REG,Mike Babcock,5,33,29,10,1.0,0.0,54.4,16,7,20
2018020962,7,away,False,REG,Phil Housley,3,34,35,2,5.0,2.0,45.6,7,6,15
2018020979,10,home,True,REG,Mike Babcock,6,36,17,4,5.0,3.0,62.7,8,10,14
2018020979,22,away,False,REG,Ken Hitchcock,2,36,33,10,2.0,1.0,37.3,12,7,17
2018020985,2,home,True,REG,Barry Trotz,6,37,39,4,1.0,0.0,56.2,16,7,17
2018020985,10,away,False,REG,Mike Babcock,1,35,22,2,2.0,0.0,43.8,11,3,7
2018021002,10,home,True,REG,Mike Babcock,5,32,27,9,2.0,0.0,63.6,12,4,13
2018021002,7,away,False,REG,Phil Housley,2,37,27,9,2.0,0.0,36.4,10,7,17
2018021018,20,home,False,REG,Bill Peters,2,37,15,4,1.0,1.0,48.4,33,12,16
2018021018,10,away,True,REG,Mike Babcock,6,32,13,2,2.0,1.0,51.6,15,12,20
2018021030,23,home,True,OT,Travis Green,3,31,22,4,4.0,1.0,56.9,4,6,19
